x,y,z,ale
0,0,0,2.67399169630125
10,0,0,2.88290901497644
20,0,0,3.1135702027735
30,0,0,3.36150214171996
40,0,0,3.62316106627886
50,0,0,3.8957820521472
60,0,0,4.17721937485784
70,0,0,4.46580651571085
80,0,0,4.76024329084821
90,0,0,5.05950854951226
100,0,0,5.36279400679646
0,10,0,2.88064788348938
10,10,0,3.07555930285797
20,10,0,3.2927526545981
30,10,0,3.52811525967501
40,10,0,3.77825313457989
50,10,0,4.04042305143856
60,10,0,4.31243114060405
70,10,0,4.59252963763211
80,10,0,4.87932544772628
90,10,0,5.17170449652254
100,10,0,5.46877136074419
0,20,0,3.1093817854419
10,20,0,3.29077314386487
20,20,0,3.49461627412065
30,20,0,3.71721941033049
40,20,0,3.95541648982112
50,20,0,4.20655931773012
60,20,0,4.46846564286194
70,20,0,4.73935136189704
80,20,0,5.01776241803209
90,20,0,5.3025135792695
100,20,0,5.59263650303521
0,30,0,3.35568177407306
10,30,0,3.52441952179228
20,30,0,3.71546605213359
30,30,0,3.92556559310197
40,30,0,4.15182666896838
50,30,0,4.39175208485069
60,30,0,4.64322412582527
70,30,0,4.9044669855881
80,30,0,5.17400084702579
90,30,0,5.45059587013619
100,30,0,5.73323016599631
0,40,0,3.61596010380046
10,40,0,3.77307570412005
20,40,0,3.95212035342898
30,40,0,4.15025692327312
40,40,0,4.36488625196437
50,40,0,4.59369716875425
60,40,0,4.83467657512644
70,40,0,5.0860951343987
80,40,0,5.34648034396967
90,40,0,5.61458481483504
100,40,0,5.88935441620901
0,50,0,3.88741006300201
10,50,0,4.03396700465853
20,50,0,4.2019096627177
30,50,0,4.3887836646193
40,50,0,4.59227846697478
50,50,0,4.8102851478757
60,50,0,5.04092125625158
70,50,0,5.2825328434196
80,50,0,5.53368246234881
90,50,0,5.79312973863256
100,50,0,6.05980898753198
0,60,0,4.16784941496262
10,60,0,4.30486951515939
20,60,0,4.46262888458308
30,60,0,4.63901215806815
40,60,0,4.8319802634236
50,60,0,5.03962845374026
60,60,0,5.26021851823705
70,60,0,5.49219127395266
80,60,0,5.73416544424572
90,60,0,5.98492806276766
100,60,0,6.24342027363594
0,70,0,4.45558107500036
10,70,0,4.5840086728371
20,70,0,4.7324719261304
30,70,0,4.8991496989581
40,70,0,5.08225021385334
50,70,0,5.2800652384081
60,70,0,5.49100471951182
70,70,0,5.71361522678758
80,70,0,5.94658618974608
90,70,0,6.18874768322324
100,70,0,6.43906287306976
0,80,0,4.74927983048175
10,80,0,4.8699683474295
20,80,0,5.00996474278331
30,80,0,5.16770006532119
40,80,0,5.34160307665514
50,80,0,5.53014874249916
60,80,0,5.731892272367
70,80,0,5.94549032057897
80,80,0,6.16971178454863
90,80,0,6.40344079998561
100,80,0,6.64567429804266
0,90,0,5.04790425055412
10,90,0,5.16161506890109
20,90,0,5.29390452676221
30,90,0,5.44341826242135
40,90,0,5.60877899752462
50,90,0,5.78862881248285
60,90,0,5.98166092624466
70,90,0,6.18664154179308
80,90,0,6.40242312870212
90,90,0,6.62795085176874
100,90,0,6.86226386043311
0,100,0,5.35062967878793
10,100,0,5.45803726226476
20,100,0,5.58330778080854
30,100,0,5.72526881608419
40,100,0,5.88271217040551
50,100,0,6.05443012722671
60,100,0,6.23924419087167
70,100,0,6.43602627429407
80,100,0,6.64371300973361
90,100,0,6.86131424220067
100,100,0,7.08791689616704
0,0,20,3.0976601625428
10,0,20,3.27969987641386
20,0,20,3.48419091014194
30,0,20,3.70742006515374
40,0,20,3.94620868719783
50,0,20,4.19790241531993
60,0,20,4.46031709594782
70,0,20,4.7316693382444
80,0,20,5.01050726761095
90,0,20,5.29564855832638
100,0,20,5.5861280373841
0,10,20,3.27771248271848
10,10,20,3.45026548487401
20,10,20,3.64520053427511
30,10,20,3.85912738533835
40,10,20,4.08906635305414
50,10,20,4.33246873333354
60,10,20,4.5871918679262
70,10,20,4.85145291260731
80,10,20,5.12377631396472
90,10,20,5.40294311371757
100,10,20,5.68794577038253
0,20,20,3.48044853120321
10,20,20,3.64341251783255
20,20,20,3.82852579905968
30,20,20,4.0327393959013
40,20,20,4.25330301044559
50,20,20,4.48780661173126
60,20,20,4.734179136044
70,20,20,4.99066310446137
80,20,20,5.25577839853736
90,20,20,5.52828338176094
100,20,20,5.80713784456668
0,30,20,3.70214357630317
10,30,20,3.85574893584984
20,30,20,4.03112327711196
30,30,20,4.22555701848439
40,30,20,4.43654500482907
50,30,20,4.66184011582412
60,30,20,4.89946907055882
70,30,20,5.14772408967694
80,30,20,5.40514122440295
90,30,20,5.67047284009565
100,30,20,5.94265891895259
0,40,20,3.93959824893266
10,40,20,4.08428294315388
20,40,20,4.25023789671876
30,40,20,4.43507603315807
40,40,20,4.6365395375543
50,40,20,4.85255814688887
60,40,20,5.08127587095928
70,40,20,5.3210554034769
80,40,20,5.57046846855547
90,40,20,5.82827843652762
100,40,20,6.09341959251431
0,50,20,4.19013411344386
10,50,20,4.32644850719275
20,50,20,4.4834486396475
30,50,20,4.65904378017055
40,50,20,4.85121514766733
50,50,20,5.05807375337591
60,50,20,5.27789295102181
70,50,20,5.50912153909527
80,50,20,5.75038333372858
90,50,20,6.000468236675
100,50,20,6.25831861254203
0,60,20,4.45154306241341
10,60,20,4.58008388932619
20,60,20,4.72867036832046
30,60,20,4.8954775756223
40,60,20,5.07871048169039
50,60,20,5.27665820784947
60,60,20,5.48772865130198
70,60,20,5.71046687061561
80,60,20,5.94356124160409
90,60,20,6.18584115599653
100,60,20,6.43626938559636
0,70,20,4.72201965334941
10,70,20,4.84338749258847
20,70,20,4.98413055831497
30,70,20,5.14265832653871
40,70,20,5.31738038200475
50,70,20,5.5067554705618
60,70,20,5.70932568000966
70,70,20,5.92373749000541
80,70,20,6.14875224763492
90,70,20,6.38324876354648
100,70,20,6.62622045921067
0,80,20,5.00009257903666
10,80,20,5.11486642989647
20,80,20,5.2483343657439
30,80,20,5.39911019111828
40,80,20,5.5657874841974
50,80,20,5.74698286102209
60,80,20,5.94136818525305
70,80,20,6.14769241608711
80,80,20,6.36479460745709
90,80,20,6.59160989210049
100,80,20,6.82717026053851
0,90,20,5.28456282141475
10,90,20,5.39328629040063
20,90,20,5.52002645185601
30,90,20,5.66357389555207
40,90,20,5.82268569766478
50,90,20,5.99612294899156
60,90,20,6.18268018963287
70,90,20,6.38120681825597
80,90,20,6.59062127645463
90,90,20,6.80991919072309
100,90,20,7.03817676539337
0,100,20,5.57445108062156
10,100,20,5.6776260573401
20,100,20,5.79815424647826
30,100,20,5.93497850940867
40,100,20,6.08700003043813
50,100,20,6.25311051047293
60,100,20,6.43221851028419
70,100,20,6.62326966792991
80,100,20,6.82526112661049
90,100,20,7.03725088517828
100,100,20,7.25836295714721
0,0,40,3.59578284413982
10,0,40,3.75374307311444
20,0,40,3.93366776404938
30,0,40,4.13268911474238
40,0,40,4.34818568859717
50,0,40,4.57783141543619
60,0,40,4.8196041721297
70,0,40,5.07176995792275
80,0,40,5.33285466316003
90,0,40,5.6016113246913
100,0,40,5.87698751314432
0,10,40,3.75200678290619
10,10,40,3.90365056014476
20,10,40,4.07696489004812
30,10,40,4.26931141472181
40,10,40,4.4782384281417
50,10,40,4.70153603675632
60,10,40,4.93725480533199
70,10,40,5.18370052596131
80,10,40,5.43941536335951
90,10,40,5.70315264302768
100,10,40,5.97384991997774
0,20,40,3.93035338843215
10,20,40,4.07536630926651
20,20,40,4.24167013965857
30,20,40,4.42686602630574
40,20,40,4.62868688488118
50,20,40,4.8450556203107
60,20,40,5.07411153521085
70,20,40,5.31421433533101
80,20,40,5.56393407169222
90,20,40,5.82203340154105
100,20,40,6.0874465685872
0,30,40,4.12795625451244
10,30,40,4.26625780232662
20,30,40,4.4253938417817
30,30,40,4.60320409020372
40,30,40,4.79761267293216
50,30,40,5.00668643367174
60,30,40,5.22866646029063
70,30,40,5.46197941071237
80,30,40,5.70523509027856
90,30,40,5.95721562559792
100,30,40,6.21686020484717
0,40,40,4.34218725328594
10,40,40,4.47387113575517
20,40,40,4.62587050816491
30,40,40,4.79625428845247
40,40,40,4.98313703031632
50,40,40,5.18473493522505
60,40,40,5.39939999040621
70,40,40,5.62563653167145
80,40,40,5.86210497507306
90,40,40,6.1076169913722
100,40,40,6.36112553798798
0,50,40,4.57070888027793
10,50,40,4.69598897624302
20,50,40,4.84101926085433
30,50,40,5.004082805585
40,50,40,5.1834780011651
50,50,40,5.37757062940095
60,50,40,5.58482853649522
70,50,40,5.80384147889387
80,50,40,6.03332945101036
90,50,40,6.27214276295997
100,50,40,6.51925667815707
0,60,40,4.81148536484592
10,60,40,4.93065149983964
20,60,40,5.06897220665467
30,60,40,5.22492645623136
40,60,40,5.39698581955126
50,60,40,5.58366166794432
60,60,40,5.78353884139514
70,60,40,5.9952971285837
80,60,40,6.21772273523868
90,60,40,6.44971213208978
100,60,40,6.69027050152462
0,70,40,5.06276854954121
10,70,40,5.17615283612917
20,70,40,5.3080799920437
30,70,40,5.45720536933727
40,70,40,5.62216060839021
50,70,40,5.80159560743145
60,70,40,5.99421016481933
70,70,40,6.19877581705461
80,70,40,6.41414920175709
90,70,40,6.63927861720859
100,70,40,6.87320546424066
0,80,40,5.32307069073322
10,80,40,5.43102332671177
20,80,40,5.55690285989003
30,80,40,5.69952161461319
40,80,40,5.8576570485864
50,80,40,6.03008853869388
60,80,40,6.21562641190272
70,80,40,6.41313322974196
80,80,40,6.62153805204806
90,80,40,6.83984478985032
100,80,40,7.06713587997196
0,90,40,5.59113226395912
10,90,40,5.69400498681104
20,90,40,5.81419365078216
30,90,40,5.95064912845519
40,90,40,6.10228027161942
50,90,40,6.26798581675396
60,90,40,6.44668054946764
70,90,40,6.63731543901313
80,90,40,6.83889205860584
90,90,40,7.05047198163245
100,90,40,7.27118201948821
0,100,40,5.86588958554868
10,100,40,5.96402493510824
20,100,40,6.07887723560523
30,100,40,6.20951895775738
40,100,40,6.35497640830864
50,100,40,6.51425719754698
60,100,40,6.6863735121251
70,100,40,6.8703607528081
80,100,40,7.06529158818133
90,100,40,7.27028581285138
100,100,40,7.48451659075537
0,0,60,4.14158169431737
10,0,60,4.27944292256003
20,0,60,4.43810621170965
30,0,60,4.61542673949057
40,0,60,4.80934126996782
50,0,60,5.0179263781615
60,0,60,5.23943022136038
70,0,60,5.47228427391909
80,0,60,5.71510135753358
90,0,60,5.96666524127207
100,0,60,6.2259157477554
0,10,60,4.27792000480006
