Algorithm,h,l,t,b,OptimalCost,Rank
BKA,0.788764609360869,0.407995293285829,NaN,NaN,263.895850944194,3
WOA,0.7889398272367,0.407500136749272,NaN,NaN,263.895894493546,6
SCA,0.788166271959424,0.409838204308485,NaN,NaN,263.91090667286,7
FOX,0.78856311505574,0.408565272633656,NaN,NaN,263.895857683166,1
PLO,0.788821825156535,0.407833536465465,NaN,NaN,263.89585874653,9
EPLO,0.788627435509851,0.408383211877622,NaN,NaN,263.895844613233,2
ALO,0.787687564787548,0.411050750290287,NaN,NaN,263.896762436066,5
BA,0.784138997567509,0.421591463914218,NaN,NaN,263.947147420545,8
GSA,0.788165100279882,0.41479212119668,NaN,NaN,264.40596696066,10
HHO,0.788795687743054,0.40790741272084,NaN,NaN,263.89585361679,4
MFO,0.799635344225201,0.393859194366001,NaN,NaN,265.556949187832,11
