Algorithm,h_thickness,l_length,t_height,b_width,OptimalCost,Rank
FOX,0.788692168502158,0.408200150900978,0.408200150900978,0.408200150900978,263.895847336737,1
EPLO,0.788682451807091,0.408227585950484,0.408227585950484,0.408227585950484,263.895842980584,2
BKA,0.788732671723769,0.408085562153589,0.408085562153589,0.408085562153589,263.895845482702,3
WOA,0.788742518812132,0.408057737520647,0.408057737520647,0.408057737520647,263.895847216951,4
HHO,0.788802903747732,0.407887015939046,0.407887015939046,0.407887015939046,263.895854932737,5
SCA,0.79221016823914,0.398349555598051,0.398349555598051,0.398349555598051,263.905828394538,6
ALO,0.790434424993711,0.403323365261187,0.403323365261187,0.403323365261187,263.900953324656,7
PLO,0.788498035402715,0.408749409546314,0.408749409546314,0.408749409546314,263.89586728895,8
BA,0.773611883829346,0.452977737910549,0.452977737910549,0.452977737910549,264.108257415947,9
GSA,0.810611954909017,0.353054193226711,0.353054193226711,0.353054193226711,264.581103413491,10
MFO,0.763512646567372,0.496213543806954,0.496213543806954,0.496213543806954,265.575342344486,11
