Algorithm,a_mm,b_mm,c_mm,e_mm,f_mm,l_mm,delta_rad,Rank
BKA,70.2588,10.0000,10.0000,10.0000,49.6664,79.6342,150.0000,3
WOA,66.5259,13.7370,68.9698,10.0000,40.8327,79.6382,60.8515,4
SCA,44.9104,35.4943,10.0000,10.0000,10.1056,79.6531,10.0000,6
FOX,45.1596,35.1016,62.8244,10.0000,75.2606,79.6365,132.3813,5
PLO,70.2529,10.0000,10.0000,10.0000,10.0000,79.6282,10.0000,2
EPLO,70.2614,10.0000,10.0061,10.0000,109.5340,79.6368,25.7439,1
ALO,66.6316,19.8339,126.3708,21.7882,140.0932,83.5847,120.8426,8
BA,50.2464,27.9623,118.4591,39.0369,44.7674,67.2340,82.9078,9
GSA,63.1699,25.9424,79.8393,23.8843,113.2459,77.3904,35.0914,11
HHO,64.3771,15.8843,45.7636,10.0000,44.9198,79.6368,42.1906,7
MFO,67.3292,16.9706,128.2933,38.2678,139.8532,73.2201,67.0885,10
