N,A,R,run,ALE_DVLS,ALE_EPLO_Sobol,ALE_EPLO_Seed
100,10,30,1,67.330804730507,67.5267805428042,66.4825015097641
100,10,30,2,70.1985344923031,60.8207926207035,63.7966949990177
100,10,30,3,68.2585332306487,58.4963914995537,59.3413330231624
100,10,30,4,63.8545737885928,62.8761558346519,67.2657586657892
100,10,30,5,64.819716562044,66.6575327798081,64.2612890570015
100,10,30,6,75.9802549923313,62.6057793107801,66.9193313107484
100,10,30,7,66.3789053062378,65.7631975675844,66.2373449780829
100,10,30,8,69.097950656795,60.9071049189924,58.7206923998771
100,10,30,9,72.7579228346079,67.9811182637291,71.3207961487181
100,10,30,10,73.7328408797428,64.6766224650881,67.332722641498
100,10,40,1,79.3156780401059,56.4934499377189,53.6202861457475
100,10,40,2,76.4713225319566,60.7039910125776,59.2107445843248
100,10,40,3,78.4451250393382,50.9584756177159,49.237057015433
100,10,40,4,67.6284780608464,57.0379223983227,57.8152921743587
100,10,40,5,71.507494308229,64.1290264586912,62.2207626113729
100,10,40,6,77.5184620967284,60.1491489968495,58.3031654620463
100,10,40,7,70.821468582864,61.6194831954131,60.4605026242377
100,10,40,8,80.1325120842767,58.9378341816934,62.332560018186
100,10,40,9,83.111494209781,56.4678272957037,57.0884913625992
100,10,40,10,75.9822638025177,53.1694861337784,54.8018924291839
100,20,30,1,83.0195378909916,51.2826416891937,51.6613493016815
100,20,30,2,73.2326573028823,64.6045731165701,61.3730525104193
100,20,30,3,73.0297269190138,62.064090937798,57.9689050028368
100,20,30,4,71.1305010024657,52.7945450567549,57.447609230668
100,20,30,5,65.7485329710764,59.6666074344742,63.2900516606105
100,20,30,6,76.8938143904229,61.9500703355787,61.8542776877352
100,20,30,7,79.0294860298739,53.7567952032539,55.6981812808544
100,20,30,8,69.3873788679462,54.4089945545461,54.5601153222357
100,20,30,9,77.5969410176557,60.0974730768918,57.5603406103126
100,20,30,10,74.3118787413734,62.1780218231755,58.7205557174963
100,20,40,1,82.0829510532512,42.9908435670925,42.5320384186268
100,20,40,2,89.281203817338,53.9363616346698,53.305885037448
100,20,40,3,85.2252183485219,49.8960762807849,49.9739099213559
100,20,40,4,89.5916255121714,41.3757541686539,43.1376356829858
100,20,40,5,79.5769564961381,50.488038696379,50.9912164294234
100,20,40,6,72.5937904793385,52.2231512444041,53.4685727834972
100,20,40,7,82.8061706567503,53.4471094278576,54.3169219579797
100,20,40,8,80.4988091218652,48.8265044155928,46.9985409173362
100,20,40,9,82.2521945012058,47.5201120861277,46.0890270893589
100,20,40,10,91.3613055468467,44.7382562462976,47.588857790737
200,10,30,1,72.5506332587152,60.2543201649862,63.2694971971135
200,10,30,2,77.8333778750641,56.9442458072732,57.136217963201
200,10,30,3,75.4231143685774,58.3041717109018,58.8919423280674
200,10,30,4,67.1836854519109,61.7542083090801,62.9116886616743
200,10,30,5,73.9749056190204,65.507803422731,65.0962842976279
200,10,30,6,75.4547542692489,61.5263643284164,60.6916080830732
200,10,30,7,77.2517858220894,55.87684856303,55.1663488970146
200,10,30,8,77.5827926497758,58.2228758509661,55.6027756433003
200,10,30,9,72.0476992962906,61.6505924963596,62.6967792250574
200,10,30,10,72.8581388767954,63.1939746100548,62.1739439986996
200,10,40,1,82.5673679466925,49.2813558578873,50.8976846376625
200,10,40,2,84.2733417755635,56.2782839564476,56.5952549896351
200,10,40,3,81.9555983797645,52.9594952224765,51.8356412783511
200,10,40,4,79.4423737659449,55.3200013480255,57.5658147597543
200,10,40,5,74.912945303051,57.5238974885412,57.6497206406827
200,10,40,6,82.5884061035513,56.0352538101744,56.3283366645898
200,10,40,7,82.2759036211907,54.8658914321108,54.073658324605
200,10,40,8,74.5817330631567,55.5999982712403,55.9161152971487
200,10,40,9,82.3155663960184,60.5079879234517,58.3367476334496
200,10,40,10,84.5434407663278,54.2765470921722,52.8380528299379
200,20,30,1,71.6817761686602,55.9901561446511,55.3280974903781
200,20,30,2,75.9003027468208,59.0589594049002,59.5752300986025
200,20,30,3,82.8181157270603,46.795495422678,47.1962552306415
200,20,30,4,80.2590929477855,49.7099267024579,47.4897636202137
200,20,30,5,74.7503574555495,47.1257864954375,49.6834801415145
200,20,30,6,85.495008883861,54.0344591167096,54.2898310285883
200,20,30,7,88.7006307385934,55.3472164572169,52.6269628148785
200,20,30,8,83.2570953715055,53.2247957271753,53.21411573415
200,20,30,9,72.5127744571126,55.5678333263292,57.332044574946
200,20,30,10,84.7690633890072,46.4422590762143,46.8255616553532
200,20,40,1,88.0318065469623,55.4370806125467,54.7972592294136
200,20,40,2,84.6943117720662,43.8471880323532,42.7910944707894
200,20,40,3,86.4111385087923,44.3269645698868,44.1273290813362
200,20,40,4,88.3597653455545,38.3232714815614,38.2562160832842
200,20,40,5,93.1673189304374,40.7736098237839,40.2249796845822
200,20,40,6,85.7553987307498,41.8358133224968,41.29529889395
200,20,40,7,88.5096555513517,48.5165391882736,47.7612741481996
200,20,40,8,82.0318586263585,51.4721936558073,52.624812284756
200,20,40,9,88.2345498771349,44.0916703747992,42.8225657414823
200,20,40,10,86.6807878801864,43.2845380560822,42.1404279800058
