Algorithm,d_wire,D_mean_coil,N_active_coils,OptimalWeight,Rank
BKA,0.0689939507303642,0.933431787773456,0.05,0.017773158393347,3
WOA,0.0689939518983074,0.933431821723666,0.519382449418606,0.0177731594386829,4
SCA,0.0691326977011765,0.937056934691725,0.05,0.0179140168718217,7
FOX,0.0690001686451311,0.933597152051792,1.42972314568115,0.0177795110743115,6
PLO,0.068994271904058,0.933439275640043,2,0.0177734662377883,5
EPLO,0.0689939496941877,0.933431770964171,0.05,0.0177731577073793,1
ALO,0.0719067174807589,1.06413008063002,1.59282522830676,0.0197683189319546,8
BA,0.077573852163732,1.33475291031863,1.63011357410229,0.0291576021441152,11
GSA,0.0741316843866393,1.05701845504801,1.18383358543777,0.023235407710996,9
HHO,0.0689939496941554,0.933431770963747,0.212902404484999,0.0177731577073793,2
MFO,0.0766556295261698,1.14870618186981,1.08034313621632,0.0269995831310308,10
