==TABLE 19
|  |  | EPLO | BKA | WOA | FOX | PLO | ALO | BA | GSA | HHO | MFO |
| F1 | avg | 3.01E+02 | 1.10E+03 | 2.53E+04 | 4.56E+03 | 1.68E+03 | 1.21E+04 | 3.03E+04 | 2.03E+07 | 1.13E+03 | 1.34E+07 |
|  | std | 1.95E+00 | 2.07E+03 | 1.08E+04 | 6.32E+03 | 2.04E+03 | 5.94E+03 | 1.40E+04 | 7.88E+07 | 6.40E+02 | 6.56E+07 |
|  | rank | 1 | 2 | 5 | 6 | 4 | 7 | 8 | 10 | 3 | 9 |
| F2 | avg | 4.10E+02 | 4.12E+02 | 4.76E+02 | 4.67E+02 | 5.02E+02 | 9.01E+02 | 2.76E+03 | 3.63E+03 | 4.44E+02 | 4.17E+03 |
|  | std | 1.20E+01 | 3.46E+01 | 8.91E+01 | 1.15E+02 | 9.89E+01 | 3.15E+02 | 1.54E+03 | 1.76E+03 | 3.36E+01 | 1.87E+03 |
|  | rank | 1 | 2 | 5 | 4 | 5 | 6 | 7 | 8 | 3 | 9 |
| F3 | avg | 6.00E+02 | 6.29E+02 | 6.34E+02 | 6.58E+02 | 6.04E+02 | 6.35E+02 | 6.57E+02 | 7.08E+02 | 6.38E+02 | 6.98E+02 |
|  | std | 1.77E-01 | 1.12E+01 | 1.24E+01 | 1.26E+01 | 3.83E+00 | 1.23E+01 | 1.49E+01 | 1.68E+01 | 1.09E+01 | 2.25E+01 |
|  | rank | 1 | 3 | 4 | 8 | 2 | 5 | 7 | 8 | 10 | 9 |
| F4 | avg | 8.20E+02 | 8.22E+02 | 8.36E+02 | 8.31E+02 | 8.21E+02 | 8.35E+02 | 8.83E+02 | 9.26E+02 | 8.27E+02 | 9.29E+02 |
|  | std | 9.99E+00 | 1.05E+01 | 1.21E+01 | 6.78E+00 | 9.66E+00 | 1.08E+01 | 1.75E+01 | 1.73E+01 | 7.76E+00 | 1.99E+01 |
|  | rank | 1 | 3 | 7 | 5 | 2 | 6 | 8 | 9 | 4 | 10 |
| F5 | avg | 9.04E+02 | 1.09E+03 | 1.65E+03 | 1.45E+03 | 9.16E+02 | 1.26E+03 | 1.91E+03 | 5.37E+03 | 1.45E+03 | 5.61E+03 |
|  | std | 1.39E+01 | 1.07E+02 | 6.30E+02 | 1.59E+02 | 7.63E+01 | 2.61E+02 | 4.12E+02 | 1.14E+03 | 1.54E+02 | 1.27E+03 |
|  | rank | 1 | 3 | 7 | 5 | 2 | 4 | 8 | 9 | 6 | 10 |
| F6 | avg | 4.76E+03 | 3.04E+03 | 5.72E+03 | 4.90E+03 | 6.29E+03 | 1.58E+08 | 8.58E+08 | 1.61E+09 | 5.68E+03 | 1.68E+09 |
|  | std | 2.16E+03 | 1.99E+03 | 3.34E+03 | 2.62E+03 | 2.11E+03 | 3.68E+08 | 8.26E+08 | 8.88E+08 | 3.43E+03 | 1.31E+09 |
|  | rank | 2 | 1 | 5 | 3 | 6 | 7 | 8 | 9 | 4 | 10 |
| F7 | avg | 2.02E+03 | 2.05E+03 | 2.08E+03 | 2.15E+03 | 2.03E+03 | 2.08E+03 | 2.17E+03 | 2.30E+03 | 2.08E+03 | 2.29E+03 |
|  | std | 7.51E+00 | 2.20E+01 | 2.92E+01 | 7.37E+01 | 9.95E+00 | 3.56E+01 | 5.94E+01 | 6.88E+01 | 3.70E+01 | 9.98E+01 |
|  | rank | 1 | 3 | 5 | 7 | 2 | 6 | 8 | 10 | 4 | 9 |
| F8 | avg | 2.22E+03 | 2.24E+03 | 2.24E+03 | 2.43E+03 | 2.23E+03 | 2.31E+03 | 2.39E+03 | 3.88E+03 | 2.24E+03 | 3.31E+03 |
|  | std | 8.13E+00 | 3.77E+01 | 1.39E+01 | 1.45E+02 | 2.35E+01 | 2.33E+02 | 1.75E+02 | 5.20E+03 | 1.42E+01 | 2.38E+03 |
|  | rank | 1 | 5 | 3 | 8 | 2 | 6 | 7 | 10 | 4 | 9 |
| F9 | avg | 2.53E+03 | 2.55E+03 | 2.60E+03 | 2.63E+03 | 2.59E+03 | 2.72E+03 | 2.93E+03 | 3.14E+03 | 2.60E+03 | 3.18E+03 |
|  | std | 1.94E-01 | 5.87E+01 | 5.43E+01 | 4.96E+01 | 6.39E+01 | 3.95E+01 | 1.56E+02 | 2.23E+02 | 3.83E+01 | 2.50E+02 |
|  | rank | 1 | 2 | 5 | 6 | 3 | 7 | 8 | 9 | 4 | 10 |
| F10 | avg | 2.51E+03 | 2.59E+03 | 2.66E+03 | 3.14E+03 | 2.61E+03 | 2.73E+03 | 3.48E+03 | 4.29E+03 | 2.64E+03 | 3.99E+03 |
|  | std | 3.21E+01 | 1.40E+02 | 3.49E+02 | 5.46E+02 | 1.48E+02 | 2.30E+02 | 7.44E+02 | 8.91E+02 | 2.48E+02 | 9.90E+02 |
|  | rank | 1 | 2 | 5 | 7 | 3 | 6 | 8 | 10 | 4 | 9 |
| F11 | avg | 2.67E+03 | 2.75E+03 | 2.98E+03 | 2.86E+03 | 2.86E+03 | 6.15E+03 | 3.38E+04 | 8.29E+04 | 2.83E+03 | 8.24E+04 |
|  | std | 1.34E+02 | 1.53E+02 | 1.33E+02 | 9.06E+01 | 1.93E+02 | 2.59E+03 | 1.26E+04 | 2.38E+04 | 9.53E+01 | 1.83E+04 |
|  | rank | 1 | 2 | 6 | 4 | 5 | 7 | 88 | 10 | 3 | 9 |
| F12 | avg | 2.86E+03 | 2.87E+03 | 2.90E+03 | 3.00E+03 | 2.88E+03 | 3.03E+03 | 3.18E+03 | 3.29E+03 | 2.91E+03 | 3.27E+03 |
|  | std | 2.88E+00 | 2.09E+01 | 4.83E+01 | 7.54E+01 | 2.26E+01 | 6.70E+01 | 1.52E+02 | 1.36E+02 | 3.44E+01 | 1.86E+02 |
|  | rank | 1 | 2 | 4 | 6 | 3 | 7 | 8 | 10 | 5 | 9 |
| Mean Rank | Mean Rank | 1.08 | 2.5 | 5.08 | 5.75 | 3.25 | 6.17 | 14.42 | 9.33 | 4.5 | 9.33 |
| Win | Win | \ | 11 | 12 | 12 | 12 | 12 | 12 | 12 | 12 | 12 |
==TABLE 21
|  |  | EPLO | BKA | WOA | FOX | PLO | ALO | BA | GSA | HHO | MFO |
| F1 | avg | 1.22E+04 | 5.94E+03 | 3.51E+04 | 2.49E+04 | 5.95E+04 | 4.16E+04 | 3.10E+07 | 8.29E+09 | 2.43E+04 | 7.80E+08 |
|  | std | 8.11E+03 | 4.58E+03 | 8.61E+03 | 1.81E+04 | 2.07E+04 | 1.15E+04 | 1.68E+08 | 4.37E+10 | 6.21E+03 | 1.59E+09 |
|  | rank | 2 | 1 | 5 | 4 | 7 | 6 | 8 | 10 | 3 | 9 |
| F2 | avg | 4.55E+02 | 5.65E+02 | 6.35E+02 | 5.04E+02 | 6.17E+02 | 1.52E+03 | 5.06E+03 | 9.27E+03 | 5.54E+02 | 9.50E+03 |
|  | std | 1.52E+01 | 1.16E+02 | 8.36E+01 | 2.27E+01 | 1.22E+02 | 4.93E+02 | 1.65E+03 | 3.52E+03 | 4.72E+01 | 3.37E+03 |
|  | rank | 1 | 4 | 6 | 2 | 5 | 7 | 8 | 9 | 3 | 10 |
| F3 | avg | 6.02E+02 | 6.53E+02 | 6.67E+02 | 6.70E+02 | 6.17E+02 | 6.59E+02 | 6.98E+02 | 7.29E+02 | 6.62E+02 | 7.37E+02 |
|  | std | 1.66E+00 | 6.13E+00 | 1.35E+01 | 8.32E+00 | 8.46E+00 | 1.15E+01 | 1.18E+01 | 1.68E+01 | 8.81E+00 | 1.79E+01 |
|  | rank | 1 | 3 | 6 | 7 | 2 | 4 | 8 | 9 | 5 | 10 |
